# Generated Thu, 05 Sep 2013 15:30:29 +0200 by ./mm10_transcript_positions_create.php
# Transcriptome alignment to the genome taken from /home/ifokkema/tmp/ele/RefseqFASTA_mapped-to-genome_maxpath_2.sam.
# Transcript	Reason_for_failure
XR_168750.1	bad_alignment:DD
XR_168752.1	bad_alignment:II
XR_168754.1	bad_alignment:DII
XR_168755.1	bad_alignment:I
XR_168756.1	bad_alignment:I
XR_168761.1	bad_alignment:I
XR_168762.1	bad_alignment:D
XR_168763.1	bad_alignment:II
XR_168768.1	bad_alignment:I
XR_168769.1	bad_alignment:IDDIDIDI
XR_168771.1	bad_alignment:II
XR_168772.1	bad_alignment:D
XR_168775.1	bad_alignment:D
XR_168777.1	bad_alignment:I
XR_168781.1	bad_alignment:D
XR_168782.1	bad_alignment:D
XR_168787.1	bad_alignment:ID
XR_168793.1	bad_alignment:DI
XR_168794.1	bad_alignment:I
XR_168795.1	bad_alignment:I
XR_168801.1	bad_alignment:ID
XR_168805.1	bad_alignment:I
XR_168806.1	bad_alignment:ID
XR_168807.1	bad_alignment:II
XR_168808.1	bad_alignment:I
XR_168814.1	bad_alignment:IIDDD
XR_168817.1	bad_alignment:D
XR_168819.1	bad_alignment:I
XR_168821.1	bad_alignment:DD
XR_168832.1	bad_alignment:D
XR_168839.1	bad_alignment:II
XR_168840.1	bad_alignment:DI
XR_168841.1	bad_alignment:II
XR_168842.1	bad_alignment:DID
XR_168843.1	bad_alignment:I
XR_168848.1	bad_alignment:DI
XR_168852.1	chimeric
XR_168853.1	bad_alignment:DI
XR_168857.1	bad_alignment:I
XR_168862.1	bad_alignment:ID
XR_168863.1	bad_alignment:ID
XR_168867.1	bad_alignment:ID
XR_168868.1	bad_alignment:IDD
XR_168869.1	bad_alignment:D
XR_168870.1	bad_alignment:DIDDIII
XR_168872.1	bad_alignment:D
XR_168874.1	bad_alignment:DI
XR_168876.1	bad_alignment:D
XR_168877.1	bad_alignment:D
XR_168878.1	bad_alignment:DII
XR_168879.1	bad_alignment:III
XR_168883.1	bad_alignment:D
XR_168890.1	bad_alignment:I
XR_168895.1	bad_alignment:II
XR_168899.1	bad_alignment:D
XR_168900.1	bad_alignment:DDIDD
XR_168901.1	bad_alignment:IDD
XR_168902.1	bad_alignment:DID
XR_168903.1	bad_alignment:D
XR_168904.1	bad_alignment:D
XR_168905.1	bad_alignment:DD
XR_168906.1	bad_alignment:D
XR_168907.1	bad_alignment:I
XR_168913.1	bad_alignment:IDID
XR_168914.1	bad_alignment:DD
XR_168916.1	bad_alignment:I
XR_168917.1	bad_alignment:IDDD
XR_168919.1	bad_alignment:D
XR_168921.1	bad_alignment:D
XR_168922.1	bad_alignment:DII
XR_168923.1	bad_alignment:DD
XR_168925.1	bad_alignment:DDI
XR_168926.1	bad_alignment:IIDII
XR_168929.1	bad_alignment:I
XR_168931.1	bad_alignment:III
XR_168935.1	bad_alignment:D
XR_168939.1	bad_alignment:D
XR_168941.1	bad_alignment:D
